2023-06-03 15:16:17,489 DEBUG      client.py заапущен клиент 
2023-06-03 15:16:17,491 DEBUG      client.py Начинается попытка подключиться к серверу 127.0.0.1:10000, конечный компьютер отверг запрос на подключение.
2023-06-03 15:16:18,492 CRITICAL   client.py Не удалось подключиться к серверу 127.0.0.1:10000, конечный компьютер отверг запрос на подключение.
2023-06-03 15:17:09,998 DEBUG      client.py заапущен клиент 
2023-06-03 15:17:09,998 DEBUG      client.py Начинается попытка подключиться к серверу 127.0.0.1:10000, конечный компьютер отверг запрос на подключение.
2023-06-03 15:17:11,000 CRITICAL   client.py Не удалось подключиться к серверу 127.0.0.1:10000, конечный компьютер отверг запрос на подключение.
2023-06-03 15:17:43,577 DEBUG      client.py заапущен клиент 
2023-06-03 15:17:43,577 DEBUG      client.py Начинается попытка подключиться к серверу 127.0.0.1:7777, конечный компьютер отверг запрос на подключение.
2023-06-03 15:17:43,578 DEBUG      client.py Сообщение "presence" создано
2023-06-03 15:17:43,578 INFO       logger.py Была вызвана функция create_message с параметрами () {}Вызов из модуля __main__Вызов из функции main()
2023-06-03 15:17:43,580 ERROR      client.py Не удалось декодировать сообщение сервера
